Iteration, Selected, Fit
0, [(['Conv2D', 'Flatten', 'Dense'], [[0, 0, 0, 0], [], [0]]), (['Conv2D', 'Flatten', 'Dense'], [[0, 0, -1, 0], [], [-3]])], [6382, 6382]
1, [(['Conv2D', 'Conv1D', 'Flatten', 'Dense'], [[0, 0, 0, -5], [2, 1, -3, 4], [], [2]]), (['Conv2D', 'Flatten', 'GaussianDropout', 'Dense'], [[-4, 0, -2, 0], [], [11], [-6]])], [6629, 6748]
2, [(['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'GaussianDropout', 'Dense'], [[1], [-1, 0, -2, 0], [], [11], [-6]]), (['LocallyConnected2D', 'Conv2D', 'Flatten', 'GaussianDropout', 'Dense'], [[-4, 9, -3], [0, -5, -2, 5], [], [11], [-4]])], [6890, 7107]
3, [(['LocallyConnected2D', 'Conv2D', 'Flatten', 'GaussianDropout', 'Dense'], [[-4, 9, -3], [0, -5, -2, 5], [], [11], [-4]]), (['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'GaussianDropout', 'Conv2DTranspose', 'Dense'], [[-8], [-2, 0, -2, 0], [], [11], [1, 2, 2, 1], [-3]])], [7094, 7321]
4, [(['LocallyConnected2D', 'Conv2D', 'Conv3DTranspose', 'Flatten', 'GaussianDropout', 'Dense'], [[-4, 17, -3], [0, -6, 0, 7], [1, -6, 1, 11], [], [11], [-4]]), (['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'GaussianDropout', 'Conv2DTranspose', 'Dense'], [[-14], [0, -3, -6, 0], [], [2, 1, 2, 1], [11], [1, 2, 1, 1], [14]])], [7448, 7584]
5, [(['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'Conv2DTranspose', 'Dense'], [[-14], [0, 6, -5, 0], [], [4, 1, 10, 1], [1], [21], [32, 2, 2, 1], [12]]), (['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'Dropout', 'SeparableConv1D', 'GaussianDropout', 'Conv2DTranspose', 'Dense'], [[-22], [-1, -10, -6, 0], [], [1, 1], [1, 1, 0, 0], [11], [1, 3, 1, 1], [14]])], [7577, 7614]
6, [(['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'Dropout', 'GaussianNoise', 'SeparableConv1D', 'GaussianDropout', 'Conv2DTranspose', 'Dense'], [[-22], [0, -7, -6, 1], [], [1, -10], [0], [1, 1, 0, -2], [6], [-1, 42, 0, 1], [14]]), (['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'GRU', 'Conv2DTranspose', 'Dense'], [[-14], [0, 0, -7, 1], [], [4, 1, -122, -18], [2], [21], [0, 4, -2], [34, 4, 0, 2], [12]])], [7630, 8856]
7, [(['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'GRU', 'SpatialDropout1D', 'Conv2DTranspose', 'Dense'], [[-18], [0, -2, -7, 1], [], [5, 1, -122, -18], [3], [21], [0, 4, -3], [1], [35, 4, 1, 3], [15]]), (['SeparableConv2D', 'GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'GRU', 'Conv2DTranspose', 'Dense'], [[2, 1, 0, 2], [-14], [15, 0, -6, 1], [], [4, 1, -128, -10], [2], [18], [0, 3, -2], [228, 4, -11, 5], [38]])], [8743, 8758]
8, [(['GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'Conv3D', 'GaussianDropout', 'GRU', 'SpatialDropout1D', 'Conv2DTranspose', 'Dense'], [[-23], [-9, -2, -7, 2], [], [5, 1, -122, -21], [3], [0, -3, 1, 1], [21], [0, 23, -38], [1], [35, 4, 0, 6], [13]]), (['SeparableConv2D', 'GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'BatchNormalization', 'GRU', 'Conv2DTranspose', 'Dense'], [[2, 1, 0, 28], [-14], [17, 0, -6, 1], [], [2, 2, -128, -10], [2], [18], [1, 3], [0, 4, -4], [228, 0, -11, 1], [38]])], [8828, 9141]
9, [(['SeparableConv2D', 'GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'BatchNormalization', 'GRU', 'Conv2DTranspose', 'Dense'], [[2, 1, 0, 28], [-14], [17, 0, -6, 1], [], [2, 2, -128, -10], [2], [18], [1, 3], [0, 4, -4], [228, 0, -11, 1], [38]]), (['ReLU', 'SeparableConv2D', 'GlobalMaxPooling2D', 'Conv2D', 'Flatten', 'SeparableConv1D', 'RepeatVector', 'GaussianDropout', 'BatchNormalization', 'GRU', 'Conv2DTranspose', 'Dense'], [[0], [2, 1, 0, 28], [-20], [18, 0, -22, -1], [], [1, 0, -128, -10], [2], [17], [2, 4], [-1, -1, -5], [228, 0, -12, -40], [38]])], [9127, 9180]
