Name                                                                                                                                                              Stmts   Miss  Cover
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\config\experimental\__init__.py                                 27     27     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\config\optimizer\__init__.py                                     8      8     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\config\threading\__init__.py                                     8      8     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\data\__init__.py                                                20     20     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\data\experimental\__init__.py                                   67     67     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\data\experimental\service\__init__.py                            9      9     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\debugging\__init__.py                                           38     38     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\debugging\experimental\__init__.py                               6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\distribute\__init__.py                                          26     26     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\distribute\cluster_resolver\__init__.py                         12     12     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\distribute\experimental\__init__.py                             12     12     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\distributions\__init__.py                                       22     22     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\dtypes\__init__.py                                              36     36     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\errors\__init__.py                                              41     41     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\experimental\__init__.py                                        10     10     0%
